Game,Date,Opponent,Score,Location,Record
30.0,Wed. Jan. 2,Orlando Magic,110-94,FleetCenter,19-11
31.0,Fri. Jan. 4,Miami Heat,66-89,FleetCenter,19-12
32.0,Sat. Jan. 5,@ New York Knicks,90-81,Madison Square Garden,20-12
33.0,Mon. Jan. 7,@ Orlando Magic,87-98,TD Waterhouse Centre,20-13
34.0,Wed. Jan. 9,San Antonio Spurs,90-93,FleetCenter,20-14
35.0,Fri. Jan. 11,Detroit Pistons,104-90,FleetCenter,21-14
36.0,Sat. Jan. 12,@ Atlanta Hawks,115-91,Philips Arena,22-14
37.0,Wed. Jan. 16,New York Knicks,101-100,FleetCenter,23-14
38.0,Fri. Jan. 18,Houston Rockets,101-104,FleetCenter,23-15
39.0,Sat. Jan. 19,@ Detroit Pistons,91-94,The Palace of Auburn Hills,23-16
40.0,Mon. Jan. 21,Toronto Raptors,106-97,FleetCenter,24-16
41.0,Wed. Jan. 23,Indiana Pacers,98-94,FleetCenter,25-16
42.0,Fri. Jan. 25,Philadelphia 76ers,90-106,FleetCenter,25-17
43.0,Sat. Jan. 26,@ Cleveland Cavaliers,108-101,Gund Arena,26-17
44.0,Tue. Jan. 29,@ Milwaukee Bucks,90-109,Bradley Center,26-18
45.0,Thu. Jan. 31,@ Toronto Raptors,92-97,Air Canada Centre,26-19
