Team,Region,Coach,Home ground,Capacity
Adelaide 36ers,SA,Scott Ninnis,Distinctive Homes Dome,8000.0
Cairns Taipans,QLD,Mark Beecroft,Cairns Convention Centre,5300.0
Gold Coast Blaze,QLD,Brendan Joyce,Gold Coast Convention and Exhibition Centre,5269.0
Melbourne Tigers,VIC,Alan Westover,State Netball Centre,3500.0
New Zealand Breakers,NZL,Andrej Lemanis,North Shore Events Centre,4400.0
Perth Wildcats,WA,Conner Henry,Challenge Stadium,4500.0
South Dragons,VIC,Brian Goorjian,Hisense Arena,10500.0
Sydney Spirit,NSW,Rob Beveridge,State Sports Centre,5006.0
Townsville Crocodiles,QLD,Trevor Gleeson,Townsville Entertainment Centre,5257.0
Wollongong Hawks,NSW,Eric Cooks,WIN Entertainment Centre,6000.0
