No. in series,Title,Directed by,Written by,Original air date,Prod. Code
1.0,""" Pilot """,Thomas Schlamme,Aaron Sorkin,"September 22, 1998",1-01
2.0,"""The Apology""",Thomas Schlamme,Aaron Sorkin,"September 29, 1998",1-02
3.0,"""The Hungry and the Hunted""",Thomas Schlamme,Aaron Sorkin,"October 6, 1998",1-03
4.0,"""Intellectual Property""",Thomas Schlamme,Aaron Sorkin,"October 13, 1998",1-04
5.0,"""Mary Pat Shelby""",Thomas Schlamme,Tracey Stern and Aaron Sorkin,"October 20, 1998",1-05
6.0,"""The Head Coach, Dinner and the Morning Mail""",Thomas Schlamme,Matt Tarses and Aaron Sorkin,"October 27, 1998",1-06
7.0,"""Dear Louise""",Thomas Schlamme,David Walpert and Aaron Sorkin,"November 11, 1998",1-07
8.0,"""Thespis""",Thomas Schlamme,Aaron Sorkin,"November 17, 1998",1-08
9.0,"""The Quality of Mercy at 29K""",Thomas Schlamme,Bill Wrubel and Aaron Sorkin,"December 1, 1998",1-09
10.0,"""Shoe Money Tonight""",Dennie Gordon,Aaron Sorkin,"December 8, 1998",1-10
12.0,"""Smoky""",Robert Berlinger,Aaron Sorkin,"January 5, 1999",1-12
13.0,""" Small Town """,Thomas Schlamme,Paul Redford and Aaron Sorkin,"January 12, 1999",1-13
14.0,"""Rebecca""",Thomas Schlamme,Aaron Sorkin,"January 26, 1999",1-14
15.0,"""Dana and the Deep Blue Sea""",Thomas Schlamme,Aaron Sorkin,"February 9, 1999",1-15
16.0,"""Sally""",Robert Berlinger,Rachel Sweet and Aaron Sorkin,"February 23, 1999",1-16
17.0,"""How Are Things in Glocca Morra?""",Marc Buckland,Aaron Sorkin,"March 9, 1999",1-17
18.0,"""The Sword of Orion""",Robert Berlinger,"David Handelman, Mark McKinney , and Aaron Sorkin","March 23, 1999",1-18
19.0,"""Eli's Coming""",Robert Berlinger,Aaron Sorkin,"March 30, 1999",1-19
20.0,"""Ordnance Tactics""",Alex Graves,Teleplay: Aaron Sorkin Story: Paul Redford,"April 6, 1999",1-20
21.0,"""Ten Wickets""",Robert Berlinger,Teleplay: Aaron Sorkin Story: Matt Tarses,"April 13, 1999",1-21
22.0,"""Napoleon's Battle Plan""",Robert Berlinger,Aaron Sorkin,"April 27, 1999",1-22
